,no,date,time,kWh,dayOfTheWeek,isHoliday,dateName,season
1,1,20150901,15,287.64,화,1,NA,fall
2,2,20150901,30,282.6,화,1,NA,fall
3,3,20150901,45,275.04,화,1,NA,fall
4,4,20150901,100,268.2,화,1,NA,fall
5,5,20150901,115,259.56,화,1,NA,fall
6,6,20150901,130,246.24,화,1,NA,fall
7,7,20150901,145,241.56,화,1,NA,fall
8,8,20150901,200,240.48,화,1,NA,fall
9,9,20150901,215,228.24,화,1,NA,fall
10,10,20150901,230,225,화,1,NA,fall
11,11,20150901,245,218.88,화,1,NA,fall
12,12,20150901,300,219.24,화,1,NA,fall
13,13,20150901,315,211.68,화,1,NA,fall
14,14,20150901,330,214.2,화,1,NA,fall
15,15,20150901,345,212.76,화,1,NA,fall
16,16,20150901,400,207,화,1,NA,fall
17,17,20150901,415,205.2,화,1,NA,fall
18,18,20150901,430,197.64,화,1,NA,fall
19,19,20150901,445,197.28,화,1,NA,fall
20,20,20150901,500,204.48,화,1,NA,fall
21,21,20150901,515,208.44,화,1,NA,fall
22,22,20150901,530,204.84,화,1,NA,fall
23,23,20150901,545,214.56,화,1,NA,fall
24,24,20150901,600,223.2,화,1,NA,fall
25,25,20150901,615,230.76,화,1,NA,fall
26,26,20150901,630,242.28,화,1,NA,fall
27,27,20150901,645,240.84,화,1,NA,fall
28,28,20150901,700,254.52,화,1,NA,fall
29,29,20150901,715,257.76,화,1,NA,fall
30,30,20150901,730,277.2,화,1,NA,fall
31,31,20150901,745,295.56,화,1,NA,fall
32,32,20150901,800,307.08,화,1,NA,fall
33,33,20150901,815,347.76,화,1,NA,fall
34,34,20150901,830,383.76,화,1,NA,fall
35,35,20150901,845,391.32,화,1,NA,fall
36,36,20150901,900,396.36,화,1,NA,fall
37,37,20150901,915,404.28,화,1,NA,fall
38,38,20150901,930,396.72,화,1,NA,fall
39,39,20150901,945,412.56,화,1,NA,fall
40,40,20150901,1000,415.08,화,1,NA,fall
41,41,20150901,1015,423.72,화,1,NA,fall
42,42,20150901,1030,420.84,화,1,NA,fall
43,43,20150901,1045,433.8,화,1,NA,fall
44,44,20150901,1100,447.12,화,1,NA,fall
45,45,20150901,1115,454.68,화,1,NA,fall
46,46,20150901,1130,452.88,화,1,NA,fall
47,47,20150901,1145,437.04,화,1,NA,fall
48,48,20150901,1200,433.44,화,1,NA,fall
49,49,20150901,1215,426.24,화,1,NA,fall
50,50,20150901,1230,430.2,화,1,NA,fall
51,51,20150901,1245,444.96,화,1,NA,fall
52,52,20150901,1300,458.28,화,1,NA,fall
53,53,20150901,1315,481.68,화,1,NA,fall
54,54,20150901,1330,478.8,화,1,NA,fall
55,55,20150901,1345,479.88,화,1,NA,fall
56,56,20150901,1400,457.92,화,1,NA,fall
57,57,20150901,1415,447.48,화,1,NA,fall
58,58,20150901,1430,441,화,1,NA,fall
59,59,20150901,1445,455.04,화,1,NA,fall
60,60,20150901,1500,460.08,화,1,NA,fall
61,61,20150901,1515,444.96,화,1,NA,fall
62,62,20150901,1530,456.12,화,1,NA,fall
63,63,20150901,1545,456.84,화,1,NA,fall
64,64,20150901,1600,449.28,화,1,NA,fall
65,65,20150901,1615,453.24,화,1,NA,fall
66,66,20150901,1630,453.24,화,1,NA,fall
67,67,20150901,1645,461.52,화,1,NA,fall
68,68,20150901,1700,462.24,화,1,NA,fall
69,69,20150901,1715,441,화,1,NA,fall
70,70,20150901,1730,425.88,화,1,NA,fall
71,71,20150901,1745,417.6,화,1,NA,fall
72,72,20150901,1800,405.72,화,1,NA,fall
73,73,20150901,1815,384.12,화,1,NA,fall
74,74,20150901,1830,382.32,화,1,NA,fall
75,75,20150901,1845,382.32,화,1,NA,fall
76,76,20150901,1900,380.16,화,1,NA,fall
77,77,20150901,1915,371.88,화,1,NA,fall
78,78,20150901,1930,388.08,화,1,NA,fall
79,79,20150901,1945,387.36,화,1,NA,fall
80,80,20150901,2000,386.28,화,1,NA,fall
81,81,20150901,2015,378.72,화,1,NA,fall
82,82,20150901,2030,374.4,화,1,NA,fall
83,83,20150901,2045,365.76,화,1,NA,fall
84,84,20150901,2100,374.76,화,1,NA,fall
85,85,20150901,2115,363.6,화,1,NA,fall
86,86,20150901,2130,360,화,1,NA,fall
87,87,20150901,2145,359.28,화,1,NA,fall
88,88,20150901,2200,356.4,화,1,NA,fall
89,89,20150901,2215,336.6,화,1,NA,fall
90,90,20150901,2230,300.24,화,1,NA,fall
91,91,20150901,2245,301.32,화,1,NA,fall
92,92,20150901,2300,300.24,화,1,NA,fall
93,93,20150901,2315,295.92,화,1,NA,fall
94,94,20150901,2330,301.68,화,1,NA,fall
95,95,20150901,2345,294.12,화,1,NA,fall
96,96,20150901,2400,294.84,화,1,NA,fall
97,97,20150902,15,288,수,1,NA,fall
98,98,20150902,30,281.52,수,1,NA,fall
99,99,20150902,45,267.48,수,1,NA,fall
100,100,20150902,100,258.48,수,1,NA,fall
101,101,20150902,115,252,수,1,NA,fall
102,102,20150902,130,235.8,수,1,NA,fall
103,103,20150902,145,225.36,수,1,NA,fall
104,104,20150902,200,229.68,수,1,NA,fall
105,105,20150902,215,227.88,수,1,NA,fall
106,106,20150902,230,229.68,수,1,NA,fall
107,107,20150902,245,216.72,수,1,NA,fall
108,108,20150902,300,217.8,수,1,NA,fall
109,109,20150902,315,216.72,수,1,NA,fall
110,110,20150902,330,206.28,수,1,NA,fall
111,111,20150902,345,205.2,수,1,NA,fall
112,112,20150902,400,205.2,수,1,NA,fall
113,113,20150902,415,207,수,1,NA,fall
114,114,20150902,430,200.88,수,1,NA,fall
115,115,20150902,445,196.2,수,1,NA,fall
116,116,20150902,500,200.16,수,1,NA,fall
117,117,20150902,515,199.8,수,1,NA,fall
118,118,20150902,530,201.6,수,1,NA,fall
119,119,20150902,545,212.04,수,1,NA,fall
120,120,20150902,600,208.08,수,1,NA,fall
121,121,20150902,615,225.72,수,1,NA,fall
122,122,20150902,630,242.28,수,1,NA,fall
123,123,20150902,645,237.96,수,1,NA,fall
124,124,20150902,700,240.84,수,1,NA,fall
125,125,20150902,715,248.04,수,1,NA,fall
126,126,20150902,730,257.04,수,1,NA,fall
127,127,20150902,745,280.08,수,1,NA,fall
128,128,20150902,800,317.16,수,1,NA,fall
129,129,20150902,815,347.76,수,1,NA,fall
130,130,20150902,830,381.24,수,1,NA,fall
131,131,20150902,845,381.6,수,1,NA,fall
132,132,20150902,900,390.96,수,1,NA,fall
133,133,20150902,915,381.96,수,1,NA,fall
134,134,20150902,930,387,수,1,NA,fall
135,135,20150902,945,401.04,수,1,NA,fall
136,136,20150902,1000,421.56,수,1,NA,fall
137,137,20150902,1015,424.8,수,1,NA,fall
138,138,20150902,1030,423.72,수,1,NA,fall
139,139,20150902,1045,425.16,수,1,NA,fall
140,140,20150902,1100,423.72,수,1,NA,fall
141,141,20150902,1115,438.48,수,1,NA,fall
142,142,20150902,1130,439.92,수,1,NA,fall
143,143,20150902,1145,449.28,수,1,NA,fall
144,144,20150902,1200,451.44,수,1,NA,fall
145,145,20150902,1215,435.24,수,1,NA,fall
146,146,20150902,1230,429.84,수,1,NA,fall
147,147,20150902,1245,439.2,수,1,NA,fall
148,148,20150902,1300,440.28,수,1,NA,fall
149,149,20150902,1315,453.24,수,1,NA,fall
150,150,20150902,1330,453.24,수,1,NA,fall
151,151,20150902,1345,450,수,1,NA,fall
152,152,20150902,1400,454.68,수,1,NA,fall
153,153,20150902,1415,436.68,수,1,NA,fall
154,154,20150902,1430,435.96,수,1,NA,fall
155,155,20150902,1445,422.64,수,1,NA,fall
156,156,20150902,1500,422.28,수,1,NA,fall
157,157,20150902,1515,415.44,수,1,NA,fall
158,158,20150902,1530,417.24,수,1,NA,fall
159,159,20150902,1545,430.56,수,1,NA,fall
160,160,20150902,1600,423,수,1,NA,fall
161,161,20150902,1615,427.68,수,1,NA,fall
162,162,20150902,1630,415.44,수,1,NA,fall
163,163,20150902,1645,419.4,수,1,NA,fall
164,164,20150902,1700,402.12,수,1,NA,fall
165,165,20150902,1715,391.32,수,1,NA,fall
166,166,20150902,1730,387,수,1,NA,fall
167,167,20150902,1745,365.4,수,1,NA,fall
168,168,20150902,1800,363.6,수,1,NA,fall
169,169,20150902,1815,350.28,수,1,NA,fall
170,170,20150902,1830,343.44,수,1,NA,fall
171,171,20150902,1845,343.44,수,1,NA,fall
172,172,20150902,1900,335.52,수,1,NA,fall
173,173,20150902,1915,350.64,수,1,NA,fall
174,174,20150902,1930,331.92,수,1,NA,fall
175,175,20150902,1945,333.36,수,1,NA,fall
176,176,20150902,2000,328.68,수,1,NA,fall
177,177,20150902,2015,331.2,수,1,NA,fall
178,178,20150902,2030,333.36,수,1,NA,fall
179,179,20150902,2045,336.24,수,1,NA,fall
180,180,20150902,2100,329.04,수,1,NA,fall
181,181,20150902,2115,326.16,수,1,NA,fall
182,182,20150902,2130,329.76,수,1,NA,fall
183,183,20150902,2145,317.88,수,1,NA,fall
184,184,20150902,2200,321.12,수,1,NA,fall
185,185,20150902,2215,306.72,수,1,NA,fall
186,186,20150902,2230,286.92,수,1,NA,fall
187,187,20150902,2245,281.16,수,1,NA,fall
188,188,20150902,2300,283.32,수,1,NA,fall
189,189,20150902,2315,277.56,수,1,NA,fall
190,190,20150902,2330,284.04,수,1,NA,fall
191,191,20150902,2345,275.4,수,1,NA,fall
192,192,20150902,2400,276.12,수,1,NA,fall
193,193,20150903,15,262.8,목,1,NA,fall
194,194,20150903,30,257.76,목,1,NA,fall
195,195,20150903,45,258.48,목,1,NA,fall
196,196,20150903,100,246.24,목,1,NA,fall
197,197,20150903,115,245.52,목,1,NA,fall
198,198,20150903,130,234.36,목,1,NA,fall
199,199,20150903,145,225,목,1,NA,fall
200,200,20150903,200,226.44,목,1,NA,fall
201,201,20150903,215,213.84,목,1,NA,fall
202,202,20150903,230,215.64,목,1,NA,fall
203,203,20150903,245,203.76,목,1,NA,fall
204,204,20150903,300,204.84,목,1,NA,fall
205,205,20150903,315,198.36,목,1,NA,fall
206,206,20150903,330,199.44,목,1,NA,fall
207,207,20150903,345,201.96,목,1,NA,fall
208,208,20150903,400,200.88,목,1,NA,fall
209,209,20150903,415,191.52,목,1,NA,fall
210,210,20150903,430,191.52,목,1,NA,fall
211,211,20150903,445,189,목,1,NA,fall
212,212,20150903,500,188.28,목,1,NA,fall
213,213,20150903,515,188.28,목,1,NA,fall
214,214,20150903,530,192.96,목,1,NA,fall
215,215,20150903,545,198,목,1,NA,fall
216,216,20150903,600,196.56,목,1,NA,fall
217,217,20150903,615,205.92,목,1,NA,fall
218,218,20150903,630,209.16,목,1,NA,fall
219,219,20150903,645,217.44,목,1,NA,fall
220,220,20150903,700,225.72,목,1,NA,fall
221,221,20150903,715,224.28,목,1,NA,fall
222,222,20150903,730,230.04,목,1,NA,fall
223,223,20150903,745,251.28,목,1,NA,fall
224,224,20150903,800,302.04,목,1,NA,fall
225,225,20150903,815,362.52,목,1,NA,fall
226,226,20150903,830,374.04,목,1,NA,fall
227,227,20150903,845,380.52,목,1,NA,fall
228,228,20150903,900,401.4,목,1,NA,fall
229,229,20150903,915,404.28,목,1,NA,fall
230,230,20150903,930,396.36,목,1,NA,fall
231,231,20150903,945,394.92,목,1,NA,fall
232,232,20150903,1000,408.6,목,1,NA,fall
233,233,20150903,1015,412.92,목,1,NA,fall
234,234,20150903,1030,414.72,목,1,NA,fall
235,235,20150903,1045,416.52,목,1,NA,fall
236,236,20150903,1100,424.44,목,1,NA,fall
237,237,20150903,1115,431.28,목,1,NA,fall
238,238,20150903,1130,441.36,목,1,NA,fall
239,239,20150903,1145,455.76,목,1,NA,fall
240,240,20150903,1200,453.24,목,1,NA,fall
241,241,20150903,1215,436.32,목,1,NA,fall
242,242,20150903,1230,445.32,목,1,NA,fall
243,243,20150903,1245,439.92,목,1,NA,fall
244,244,20150903,1300,432.36,목,1,NA,fall
245,245,20150903,1315,450.72,목,1,NA,fall
246,246,20150903,1330,458.64,목,1,NA,fall
247,247,20150903,1345,464.76,목,1,NA,fall
248,248,20150903,1400,468,목,1,NA,fall
249,249,20150903,1415,453.96,목,1,NA,fall
250,250,20150903,1430,455.4,목,1,NA,fall
251,251,20150903,1445,448.92,목,1,NA,fall
252,252,20150903,1500,438.12,목,1,NA,fall
253,253,20150903,1515,438.48,목,1,NA,fall
254,254,20150903,1530,432.36,목,1,NA,fall
255,255,20150903,1545,454.32,목,1,NA,fall
256,256,20150903,1600,442.8,목,1,NA,fall
257,257,20150903,1615,445.32,목,1,NA,fall
258,258,20150903,1630,441.36,목,1,NA,fall
259,259,20150903,1645,446.76,목,1,NA,fall
260,260,20150903,1700,446.04,목,1,NA,fall
261,261,20150903,1715,412.56,목,1,NA,fall
262,262,20150903,1730,412.92,목,1,NA,fall
263,263,20150903,1745,415.44,목,1,NA,fall
264,264,20150903,1800,399.24,목,1,NA,fall
265,265,20150903,1815,356.04,목,1,NA,fall
266,266,20150903,1830,350.28,목,1,NA,fall
267,267,20150903,1845,344.16,목,1,NA,fall
268,268,20150903,1900,344.88,목,1,NA,fall
269,269,20150903,1915,377.28,목,1,NA,fall
270,270,20150903,1930,376.56,목,1,NA,fall
271,271,20150903,1945,356.4,목,1,NA,fall
272,272,20150903,2000,357.48,목,1,NA,fall
273,273,20150903,2015,361.08,목,1,NA,fall
274,274,20150903,2030,352.8,목,1,NA,fall
275,275,20150903,2045,358.92,목,1,NA,fall
276,276,20150903,2100,355.32,목,1,NA,fall
277,277,20150903,2115,351.72,목,1,NA,fall
278,278,20150903,2130,350.28,목,1,NA,fall
279,279,20150903,2145,353.52,목,1,NA,fall
280,280,20150903,2200,341.64,목,1,NA,fall
281,281,20150903,2215,308.16,목,1,NA,fall
282,282,20150903,2230,280.8,목,1,NA,fall
283,283,20150903,2245,271.8,목,1,NA,fall
284,284,20150903,2300,276.48,목,1,NA,fall
285,285,20150903,2315,279,목,1,NA,fall
286,286,20150903,2330,282.6,목,1,NA,fall
287,287,20150903,2345,282.96,목,1,NA,fall
288,288,20150903,2400,272.16,목,1,NA,fall
289,289,20150904,15,273.6,금,1,NA,fall
290,290,20150904,30,267.48,금,1,NA,fall
291,291,20150904,45,256.32,금,1,NA,fall
292,292,20150904,100,250.56,금,1,NA,fall
293,293,20150904,115,245.16,금,1,NA,fall
294,294,20150904,130,237.6,금,1,NA,fall
295,295,20150904,145,221.76,금,1,NA,fall
296,296,20150904,200,226.44,금,1,NA,fall
297,297,20150904,215,226.08,금,1,NA,fall
298,298,20150904,230,218.16,금,1,NA,fall
299,299,20150904,245,213.12,금,1,NA,fall
300,300,20150904,300,207.72,금,1,NA,fall
301,301,20150904,315,203.04,금,1,NA,fall
302,302,20150904,330,204.48,금,1,NA,fall
303,303,20150904,345,204.12,금,1,NA,fall
304,304,20150904,400,202.32,금,1,NA,fall
305,305,20150904,415,191.88,금,1,NA,fall
306,306,20150904,430,191.88,금,1,NA,fall
307,307,20150904,445,195.48,금,1,NA,fall
308,308,20150904,500,186.84,금,1,NA,fall
309,309,20150904,515,192.96,금,1,NA,fall
310,310,20150904,530,199.08,금,1,NA,fall
311,311,20150904,545,204.48,금,1,NA,fall
312,312,20150904,600,213.12,금,1,NA,fall
313,313,20150904,615,220.68,금,1,NA,fall
314,314,20150904,630,232.2,금,1,NA,fall
315,315,20150904,645,232.56,금,1,NA,fall
316,316,20150904,700,230.04,금,1,NA,fall
317,317,20150904,715,242.64,금,1,NA,fall
318,318,20150904,730,251.28,금,1,NA,fall
319,319,20150904,745,252,금,1,NA,fall
320,320,20150904,800,284.76,금,1,NA,fall
321,321,20150904,815,317.88,금,1,NA,fall
322,322,20150904,830,333.36,금,1,NA,fall
323,323,20150904,845,343.44,금,1,NA,fall
324,324,20150904,900,356.4,금,1,NA,fall
325,325,20150904,915,352.8,금,1,NA,fall
326,326,20150904,930,352.44,금,1,NA,fall
327,327,20150904,945,351.72,금,1,NA,fall
328,328,20150904,1000,356.04,금,1,NA,fall
329,329,20150904,1015,370.08,금,1,NA,fall
330,330,20150904,1030,374.04,금,1,NA,fall
331,331,20150904,1045,386.28,금,1,NA,fall
332,332,20150904,1100,406.8,금,1,NA,fall
333,333,20150904,1115,410.76,금,1,NA,fall
334,334,20150904,1130,420.48,금,1,NA,fall
335,335,20150904,1145,424.44,금,1,NA,fall
336,336,20150904,1200,422.64,금,1,NA,fall
337,337,20150904,1215,414.36,금,1,NA,fall
338,338,20150904,1230,403.92,금,1,NA,fall
339,339,20150904,1245,413.28,금,1,NA,fall
340,340,20150904,1300,415.08,금,1,NA,fall
341,341,20150904,1315,414.36,금,1,NA,fall
342,342,20150904,1330,423,금,1,NA,fall
343,343,20150904,1345,436.32,금,1,NA,fall
344,344,20150904,1400,432.72,금,1,NA,fall
345,345,20150904,1415,415.44,금,1,NA,fall
346,346,20150904,1430,411.48,금,1,NA,fall
347,347,20150904,1445,420.48,금,1,NA,fall
348,348,20150904,1500,416.16,금,1,NA,fall
349,349,20150904,1515,396.72,금,1,NA,fall
350,350,20150904,1530,395.64,금,1,NA,fall
351,351,20150904,1545,406.8,금,1,NA,fall
352,352,20150904,1600,392.4,금,1,NA,fall
353,353,20150904,1615,401.04,금,1,NA,fall
354,354,20150904,1630,402.48,금,1,NA,fall
355,355,20150904,1645,401.76,금,1,NA,fall
356,356,20150904,1700,397.8,금,1,NA,fall
357,357,20150904,1715,392.4,금,1,NA,fall
358,358,20150904,1730,377.28,금,1,NA,fall
359,359,20150904,1745,374.76,금,1,NA,fall
360,360,20150904,1800,367.92,금,1,NA,fall
361,361,20150904,1815,345.24,금,1,NA,fall
362,362,20150904,1830,330.84,금,1,NA,fall
363,363,20150904,1845,329.4,금,1,NA,fall
364,364,20150904,1900,341.64,금,1,NA,fall
365,365,20150904,1915,347.76,금,1,NA,fall
366,366,20150904,1930,337.68,금,1,NA,fall
367,367,20150904,1945,337.68,금,1,NA,fall
368,368,20150904,2000,334.44,금,1,NA,fall
369,369,20150904,2015,340.92,금,1,NA,fall
370,370,20150904,2030,338.4,금,1,NA,fall
371,371,20150904,2045,344.88,금,1,NA,fall
372,372,20150904,2100,343.08,금,1,NA,fall
373,373,20150904,2115,330.12,금,1,NA,fall
374,374,20150904,2130,327.6,금,1,NA,fall
375,375,20150904,2145,315.36,금,1,NA,fall
376,376,20150904,2200,310.68,금,1,NA,fall
377,377,20150904,2215,292.68,금,1,NA,fall
378,378,20150904,2230,272.88,금,1,NA,fall
379,379,20150904,2245,266.76,금,1,NA,fall
380,380,20150904,2300,272.88,금,1,NA,fall
381,381,20150904,2315,270.72,금,1,NA,fall
382,382,20150904,2330,276.48,금,1,NA,fall
383,383,20150904,2345,266.76,금,1,NA,fall
384,384,20150904,2400,259.92,금,1,NA,fall
385,385,20150905,15,264.24,토,1,NA,fall
386,386,20150905,30,258.84,토,1,NA,fall
387,387,20150905,45,248.76,토,1,NA,fall
388,388,20150905,100,246.24,토,1,NA,fall
389,389,20150905,115,239.04,토,1,NA,fall
390,390,20150905,130,239.4,토,1,NA,fall
391,391,20150905,145,231.84,토,1,NA,fall
392,392,20150905,200,218.16,토,1,NA,fall
393,393,20150905,215,224.64,토,1,NA,fall
394,394,20150905,230,221.76,토,1,NA,fall
395,395,20150905,245,218.52,토,1,NA,fall
396,396,20150905,300,214.56,토,1,NA,fall
397,397,20150905,315,205.2,토,1,NA,fall
398,398,20150905,330,204.84,토,1,NA,fall
399,399,20150905,345,202.32,토,1,NA,fall
400,400,20150905,400,200.16,토,1,NA,fall
401,401,20150905,415,196.56,토,1,NA,fall
402,402,20150905,430,193.68,토,1,NA,fall
403,403,20150905,445,195.48,토,1,NA,fall
404,404,20150905,500,191.16,토,1,NA,fall
405,405,20150905,515,195.48,토,1,NA,fall
406,406,20150905,530,201.24,토,1,NA,fall
407,407,20150905,545,209.52,토,1,NA,fall
408,408,20150905,600,196.56,토,1,NA,fall
409,409,20150905,615,209.16,토,1,NA,fall
410,410,20150905,630,227.52,토,1,NA,fall
411,411,20150905,645,214.92,토,1,NA,fall
412,412,20150905,700,216.72,토,1,NA,fall
413,413,20150905,715,219.6,토,1,NA,fall
414,414,20150905,730,236.16,토,1,NA,fall
415,415,20150905,745,244.8,토,1,NA,fall
416,416,20150905,800,249.84,토,1,NA,fall
417,417,20150905,815,277.92,토,1,NA,fall
418,418,20150905,830,298.08,토,1,NA,fall
419,419,20150905,845,325.44,토,1,NA,fall
420,420,20150905,900,349.56,토,1,NA,fall
421,421,20150905,915,342.36,토,1,NA,fall
422,422,20150905,930,325.8,토,1,NA,fall
423,423,20150905,945,326.52,토,1,NA,fall
424,424,20150905,1000,337.32,토,1,NA,fall
425,425,20150905,1015,335.52,토,1,NA,fall
426,426,20150905,1030,330.48,토,1,NA,fall
427,427,20150905,1045,339.48,토,1,NA,fall
428,428,20150905,1100,348.84,토,1,NA,fall
429,429,20150905,1115,352.8,토,1,NA,fall
430,430,20150905,1130,358.2,토,1,NA,fall
431,431,20150905,1145,349.92,토,1,NA,fall
432,432,20150905,1200,351.72,토,1,NA,fall
433,433,20150905,1215,323.64,토,1,NA,fall
434,434,20150905,1230,322.56,토,1,NA,fall
435,435,20150905,1245,351.36,토,1,NA,fall
436,436,20150905,1300,345.96,토,1,NA,fall
437,437,20150905,1315,336.24,토,1,NA,fall
438,438,20150905,1330,327.6,토,1,NA,fall
439,439,20150905,1345,321.12,토,1,NA,fall
440,440,20150905,1400,297.72,토,1,NA,fall
441,441,20150905,1415,303.12,토,1,NA,fall
442,442,20150905,1430,301.32,토,1,NA,fall
443,443,20150905,1445,299.52,토,1,NA,fall
444,444,20150905,1500,295.56,토,1,NA,fall
445,445,20150905,1515,283.32,토,1,NA,fall
446,446,20150905,1530,281.16,토,1,NA,fall
447,447,20150905,1545,278.28,토,1,NA,fall
448,448,20150905,1600,288.36,토,1,NA,fall
449,449,20150905,1615,298.44,토,1,NA,fall
450,450,20150905,1630,294.48,토,1,NA,fall
451,451,20150905,1645,297,토,1,NA,fall
452,452,20150905,1700,293.4,토,1,NA,fall
453,453,20150905,1715,289.08,토,1,NA,fall
454,454,20150905,1730,297.36,토,1,NA,fall
455,455,20150905,1745,303.84,토,1,NA,fall
456,456,20150905,1800,304.92,토,1,NA,fall
457,457,20150905,1815,286.2,토,1,NA,fall
458,458,20150905,1830,283.32,토,1,NA,fall
459,459,20150905,1845,294.48,토,1,NA,fall
460,460,20150905,1900,296.28,토,1,NA,fall
461,461,20150905,1915,304.92,토,1,NA,fall
462,462,20150905,1930,299.88,토,1,NA,fall
463,463,20150905,1945,301.68,토,1,NA,fall
464,464,20150905,2000,297.72,토,1,NA,fall
465,465,20150905,2015,297.36,토,1,NA,fall
466,466,20150905,2030,302.4,토,1,NA,fall
467,467,20150905,2045,309.6,토,1,NA,fall
468,468,20150905,2100,301.68,토,1,NA,fall
469,469,20150905,2115,298.08,토,1,NA,fall
470,470,20150905,2130,303.84,토,1,NA,fall
471,471,20150905,2145,285.84,토,1,NA,fall
472,472,20150905,2200,286.56,토,1,NA,fall
473,473,20150905,2215,288,토,1,NA,fall
474,474,20150905,2230,274.32,토,1,NA,fall
475,475,20150905,2245,264.96,토,1,NA,fall
476,476,20150905,2300,259.92,토,1,NA,fall
477,477,20150905,2315,265.68,토,1,NA,fall
478,478,20150905,2330,263.52,토,1,NA,fall
479,479,20150905,2345,256.32,토,1,NA,fall
480,480,20150905,2400,250.2,토,1,NA,fall
481,481,20150906,15,237.6,일,1,NA,fall
482,482,20150906,30,235.08,일,1,NA,fall
483,483,20150906,45,232.56,일,1,NA,fall
484,484,20150906,100,239.4,일,1,NA,fall
485,485,20150906,115,231.48,일,1,NA,fall
486,486,20150906,130,214.2,일,1,NA,fall
487,487,20150906,145,211.32,일,1,NA,fall
488,488,20150906,200,203.76,일,1,NA,fall
489,489,20150906,215,205.56,일,1,NA,fall
490,490,20150906,230,204.12,일,1,NA,fall
491,491,20150906,245,209.16,일,1,NA,fall
492,492,20150906,300,203.76,일,1,NA,fall
493,493,20150906,315,198.72,일,1,NA,fall
494,494,20150906,330,197.28,일,1,NA,fall
495,495,20150906,345,190.8,일,1,NA,fall
496,496,20150906,400,187.2,일,1,NA,fall
497,497,20150906,415,181.8,일,1,NA,fall
498,498,20150906,430,181.08,일,1,NA,fall
499,499,20150906,445,180.36,일,1,NA,fall
500,500,20150906,500,178.2,일,1,NA,fall
501,501,20150906,515,176.04,일,1,NA,fall
502,502,20150906,530,176.04,일,1,NA,fall
503,503,20150906,545,169.92,일,1,NA,fall
504,504,20150906,600,170.28,일,1,NA,fall
505,505,20150906,615,186.48,일,1,NA,fall
506,506,20150906,630,190.08,일,1,NA,fall
507,507,20150906,645,188.28,일,1,NA,fall
508,508,20150906,700,194.4,일,1,NA,fall
509,509,20150906,715,195.12,일,1,NA,fall
510,510,20150906,730,191.16,일,1,NA,fall
511,511,20150906,745,192.6,일,1,NA,fall
512,512,20150906,800,191.52,일,1,NA,fall
513,513,20150906,815,198.36,일,1,NA,fall
514,514,20150906,830,210.6,일,1,NA,fall
515,515,20150906,845,208.8,일,1,NA,fall
516,516,20150906,900,216.72,일,1,NA,fall
517,517,20150906,915,198.36,일,1,NA,fall
518,518,20150906,930,196.2,일,1,NA,fall
519,519,20150906,945,194.04,일,1,NA,fall
520,520,20150906,1000,199.08,일,1,NA,fall
521,521,20150906,1015,214.92,일,1,NA,fall
522,522,20150906,1030,218.88,일,1,NA,fall
523,523,20150906,1045,246.6,일,1,NA,fall
524,524,20150906,1100,240.12,일,1,NA,fall
525,525,20150906,1115,244.8,일,1,NA,fall
526,526,20150906,1130,240.12,일,1,NA,fall
527,527,20150906,1145,252.36,일,1,NA,fall
528,528,20150906,1200,260.64,일,1,NA,fall
529,529,20150906,1215,250.56,일,1,NA,fall
530,530,20150906,1230,239.4,일,1,NA,fall
531,531,20150906,1245,259.2,일,1,NA,fall
532,532,20150906,1300,259.2,일,1,NA,fall
533,533,20150906,1315,266.76,일,1,NA,fall
534,534,20150906,1330,270,일,1,NA,fall
535,535,20150906,1345,270,일,1,NA,fall
536,536,20150906,1400,261,일,1,NA,fall
537,537,20150906,1415,259.92,일,1,NA,fall
538,538,20150906,1430,262.8,일,1,NA,fall
539,539,20150906,1445,260.28,일,1,NA,fall
540,540,20150906,1500,258.12,일,1,NA,fall
541,541,20150906,1515,238.68,일,1,NA,fall
542,542,20150906,1530,248.04,일,1,NA,fall
543,543,20150906,1545,245.16,일,1,NA,fall
544,544,20150906,1600,236.52,일,1,NA,fall
545,545,20150906,1615,241.92,일,1,NA,fall
546,546,20150906,1630,245.16,일,1,NA,fall
547,547,20150906,1645,244.8,일,1,NA,fall
548,548,20150906,1700,246.6,일,1,NA,fall
549,549,20150906,1715,241.2,일,1,NA,fall
550,550,20150906,1730,248.04,일,1,NA,fall
551,551,20150906,1745,245.88,일,1,NA,fall
552,552,20150906,1800,250.2,일,1,NA,fall
553,553,20150906,1815,250.92,일,1,NA,fall
554,554,20150906,1830,247.32,일,1,NA,fall
555,555,20150906,1845,250.2,일,1,NA,fall
556,556,20150906,1900,252.36,일,1,NA,fall
557,557,20150906,1915,258.12,일,1,NA,fall
558,558,20150906,1930,261.72,일,1,NA,fall
559,559,20150906,1945,256.68,일,1,NA,fall
560,560,20150906,2000,266.04,일,1,NA,fall
561,561,20150906,2015,274.32,일,1,NA,fall
562,562,20150906,2030,277.2,일,1,NA,fall
563,563,20150906,2045,269.28,일,1,NA,fall
564,564,20150906,2100,269.64,일,1,NA,fall
565,565,20150906,2115,271.8,일,1,NA,fall
566,566,20150906,2130,279.72,일,1,NA,fall
567,567,20150906,2145,280.08,일,1,NA,fall
568,568,20150906,2200,284.4,일,1,NA,fall
569,569,20150906,2215,258.84,일,1,NA,fall
