"","V1","V2","V3","V4","V5"
"1",1,22,53,4,36
"2",17,16,51,14,9
"3",6,38,34,131,162
"4",27,0,32,7,25
"5",19,37,181,234,328
"6",23,15,24,0,38
"7",6,0,27,1,0
"8",2,8,5,0,3
"9",78,73,4,25,33
"10",3,18,45,10,33
"11",15,22,33,48,79
"12",5,10,2,13,5
"13",7,4,13,20,50
"14",13,25,12,126,137
"15",12,2,26,44,2
"16",55,50,17,17,94
"17",27,4,26,1,3
"18",5,45,12,22,37
"19",12,5,67,82,198
"20",2,10,4,4,2
"21",1,0,0,0,23
"22",38,0,17,70,78
"23",153,132,87,37,18
"24",0,17,27,150,164
"25",19,7,6,52,85
"26",7,0,0,18,30
"27",17,6,28,52,56
"28",3,59,16,52,69
"29",199,125,66,17,0
"30",21,34,13,11,20
"31",99,21,0,8,7
"32",12,9,3,2,214
"33",47,17,0,23,7
"34",64,2,35,22,69
"35",14,13,23,12,0
"36",0,11,43,13,21
"37",24,3,17,26,26
"38",1,4,2,21,18
"39",92,84,66,40,17
"40",65,45,31,6,56
"41",6,5,11,12,87
"42",19,12,19,23,31
"43",5,12,5,6,6
"44",0,28,16,58,1
"45",49,0,4,2,3
"46",30,2,4,72,88
"47",12,26,46,27,20
"48",2,44,3,8,49
"49",26,6,5,27,7
"50",102,0,1,15,6
"51",19,7,19,69,32
"52",24,29,43,47,49
"53",42,64,52,10,149
"54",28,17,23,30,55
"55",2,25,9,26,33
"56",29,38,1,0,16
"57",38,54,70,73,234
"58",13,54,13,13,24
"59",1,14,9,15,7
"60",8,43,0,6,2
"61",88,61,61,63,16
"62",29,27,6,1,9
"63",88,6,5,46,39
"64",30,13,0,8,30
"65",249,215,154,130,27
"66",20,6,10,33,42
"67",8,1,24,89,185
"68",0,1,4,11,65
"69",48,38,33,21,9
"70",8,0,6,19,20
"71",58,43,4,40,129
"72",8,1,13,16,76
"73",4,0,40,2,8
"74",11,39,15,24,66
"75",3,0,0,4,12
"76",35,0,49,16,24
"77",2,57,61,33,5
"78",53,56,117,137,171
"79",45,15,0,64,127
"80",61,69,33,5,19
"81",2,0,1,28,3
"82",26,36,79,129,145
"83",218,190,38,7,17
"84",12,9,8,7,58
"85",60,56,75,76,70
"86",25,27,2,67,99
"87",24,7,58,12,3
"88",1,8,107,174,250
"89",47,79,42,36,4
"90",73,36,42,149,215
"91",2,0,3,17,17
"92",24,6,42,20,2
"93",20,14,41,57,127
"94",90,52,16,63,69
"95",10,7,16,35,68
"96",66,1,5,14,45
"97",7,8,42,24,12
"98",0,98,119,126,157
"99",35,14,41,21,33
"100",2,0,27,13,35
