"","V1","V2","V3","V4","V5"
"1",0,2,6,11,5
"2",0,26,0,17,2
"3",5,17,7,9,2
"4",4,18,1,4,8
"5",9,3,7,10,6
"6",9,10,5,4,0
"7",1,6,6,5,37
"8",12,0,11,11,0
"9",0,4,25,4,24
"10",30,14,6,27,28
"11",13,20,31,24,4
"12",17,1,0,9,8
"13",0,0,9,16,19
"14",12,7,7,2,6
"15",0,6,13,2,1
"16",8,13,1,2,3
"17",4,5,9,14,8
"18",0,0,7,3,0
"19",4,7,8,1,6
"20",8,5,1,5,0
"21",11,1,0,3,0
"22",30,3,3,0,1
"23",30,9,16,6,18
"24",6,8,0,29,30
"25",3,1,2,26,0
"26",0,0,6,1,0
"27",1,5,1,10,14
"28",21,0,0,10,27
"29",7,0,2,2,14
"30",26,2,0,48,40
"31",8,25,2,1,2
"32",1,0,16,15,12
"33",89,59,41,10,1
"34",21,2,2,15,6
"35",11,1,32,32,0
"36",1,17,13,1,2
"37",0,11,10,14,14
"38",0,0,23,4,13
"39",0,0,1,3,0
"40",6,0,6,2,9
"41",1,0,1,9,10
"42",0,0,34,29,21
"43",8,1,0,21,21
"44",46,1,2,5,0
"45",4,22,0,1,1
"46",15,0,29,1,0
"47",8,0,4,13,7
"48",0,10,10,6,6
"49",0,9,2,16,2
"50",41,10,3,13,10
"51",3,15,43,5,4
"52",15,12,0,3,3
"53",29,13,8,0,11
"54",16,16,11,4,3
"55",0,11,0,7,2
"56",9,0,7,9,4
"57",0,0,0,3,1
"58",10,0,27,8,1
"59",14,0,4,10,5
"60",6,0,4,6,11
"61",115,88,6,0,13
"62",0,2,1,7,5
"63",74,5,2,0,3
"64",5,2,9,2,0
"65",48,14,45,30,0
"66",15,11,9,4,2
"67",42,17,1,7,59
"68",24,7,0,0,10
"69",35,25,20,0,15
"70",12,23,13,3,4
"71",5,8,12,1,7
"72",1,1,40,37,6
"73",0,7,4,4,5
"74",2,0,0,33,2
"75",0,2,12,1,5
"76",3,0,29,7,0
"77",3,1,6,3,23
"78",7,0,9,8,42
"79",0,9,4,0,11
"80",0,30,0,17,5
"81",1,2,11,4,3
"82",8,13,0,6,3
"83",1,2,1,4,6
"84",18,15,1,4,0
"85",4,9,5,2,1
"86",10,9,13,9,14
"87",14,0,3,0,18
"88",6,1,13,4,0
"89",8,0,7,13,3
"90",17,11,0,1,26
"91",67,19,14,23,0
"92",7,6,8,18,0
"93",22,6,0,0,2
"94",1,5,0,3,0
"95",0,7,13,0,8
"96",12,8,0,1,6
"97",0,0,3,4,0
"98",5,6,20,14,7
"99",10,5,8,11,13
"100",0,0,0,13,31
