"","V1","V2","V3","V4","V5"
"1",5,26,23,46,88
"2",16,26,51,1,119
"3",5,37,15,112,143
"4",93,0,7,74,129
"5",5,23,1,54,148
"6",23,17,36,0,13
"7",21,0,26,49,0
"8",5,17,0,0,4
"9",130,125,4,25,91
"10",3,18,94,35,58
"11",15,20,9,3,79
"12",37,17,2,13,5
"13",8,4,13,20,163
"14",13,25,8,61,72
"15",11,56,86,136,184
"16",56,51,18,25,15
"17",37,44,27,2,2
"18",5,45,12,21,36
"19",12,4,10,25,7
"20",2,10,28,4,2
"21",1,2,0,0,22
"22",46,5,16,139,147
"23",118,97,52,2,53
"24",1,32,42,136,150
"25",16,7,6,0,32
"26",7,0,0,18,1
"27",9,0,3,14,11
"28",3,10,17,16,33
"29",52,10,28,10,3
"30",21,25,4,36,45
"31",90,30,17,36,75
"32",93,90,3,2,59
"33",45,15,0,5,7
"34",64,2,5,9,69
"35",14,13,23,12,0
"36",128,112,43,4,19
"37",0,20,41,1,1
"38",0,3,2,6,11
"39",3,11,28,37,96
"40",114,7,4,29,94
"41",8,5,11,12,87
"42",52,1,17,19,11
"43",30,5,28,3,3
"44",91,28,7,49,112
"45",29,18,18,2,54
"46",30,2,4,19,3
"47",12,0,18,27,69
"48",0,6,40,45,8
"49",20,0,5,0,6
"50",127,24,0,39,6
"51",19,7,19,44,32
"52",23,28,42,46,48
"53",88,18,41,3,29
"54",27,5,33,40,42
"55",2,53,6,16,10
"56",28,16,1,1,17
"57",12,28,44,47,110
"58",13,30,75,1,8
"59",6,14,21,15,7
"60",8,17,1,0,42
"61",67,40,26,43,28
"62",30,28,7,2,1
"63",8,32,46,29,22
"64",1,13,0,6,2
"65",9,38,1,21,6
"66",101,26,7,13,22
"67",10,26,24,89,185
"68",0,2,4,39,117
"69",95,87,82,25,47
"70",8,4,6,19,20
"71",41,57,33,41,9
"72",17,30,129,132,192
"73",4,33,20,3,7
"74",42,190,213,255,297
"75",3,0,0,4,12
"76",35,0,19,17,25
"77",45,7,16,2,42
"78",16,63,25,45,79
"79",63,33,0,63,126
"80",6,51,15,5,19
"81",2,0,17,11,3
"82",136,33,78,128,144
"83",98,70,79,109,79
"84",12,9,8,7,18
"85",14,10,34,11,5
"86",24,7,31,42,10
"87",24,19,22,216,234
"88",0,6,12,13,60
"89",47,79,65,59,3
"90",2,33,50,14,11
"91",20,7,3,16,17
"92",1,6,42,125,143
"93",1,42,19,35,105
"94",73,35,29,38,44
"95",10,19,45,64,8
"96",13,0,5,14,44
"97",64,8,58,6,27
"98",20,8,29,36,67
"99",35,14,5,21,18
"100",2,0,42,55,17
