"","V1","V2","V3","V4","V5"
"1",0,0,0,0,13
"2",0,6,1,0,3
"3",4,0,9,6,21
"4",53,0,2,6,3
"5",1,2,0,23,0
"6",7,1,0,9,0
"7",1,0,3,7,0
"8",6,3,23,1,0
"9",4,9,0,0,5
"10",2,2,21,3,8
"11",7,0,0,5,5
"12",0,0,4,8,0
"13",1,2,0,0,8
"14",2,5,0,1,1
"15",10,2,0,31,10
"16",0,3,0,0,0
"17",0,5,0,0,19
"18",6,11,14,0,3
"19",8,13,1,5,23
"20",14,0,7,0,0
"21",0,3,3,6,6
"22",12,0,6,5,1
"23",18,0,0,8,0
"24",0,0,0,0,11
"25",2,0,0,0,16
"26",15,0,0,7,10
"27",1,28,24,0,1
"28",4,0,13,1,0
"29",12,0,0,0,2
"30",1,0,16,9,7
"31",1,6,18,2,1
"32",7,5,11,10,14
"33",5,3,1,0,2
"34",22,3,0,0,2
"35",0,12,0,9,22
"36",8,0,19,12,0
"37",4,0,2,5,4
"38",3,0,9,1,6
"39",0,3,0,0,11
"40",0,17,13,0,5
"41",4,11,0,4,3
"42",1,3,8,11,3
"43",3,9,0,3,3
"44",0,0,0,23,2
"45",18,16,4,6,6
"46",0,4,10,8,5
"47",7,1,3,1,14
"48",6,0,1,6,8
"49",4,8,5,10,1
"50",31,1,0,8,4
"51",3,0,0,7,44
"52",5,0,11,15,17
"53",0,2,8,15,4
"54",3,3,15,8,1
"55",0,0,3,9,14
"56",0,3,0,0,5
"57",1,4,19,19,0
"58",18,11,0,8,19
"59",0,0,7,0,0
"60",0,2,12,0,10
"61",2,0,1,7,4
"62",0,2,1,13,6
"63",13,18,5,0,4
"64",6,16,0,0,6
"65",6,2,3,7,11
"66",7,1,2,1,9
"67",25,3,6,8,0
"68",47,10,2,8,6
"69",0,7,12,0,0
"70",1,20,12,14,14
"71",4,19,3,3,2
"72",1,8,3,0,2
"73",10,0,0,3,8
"74",0,3,0,0,39
"75",3,1,1,0,7
"76",7,5,9,14,8
"77",4,1,3,0,22
"78",10,5,0,3,11
"79",16,7,0,0,9
"80",2,0,0,0,7
"81",21,17,3,0,11
"82",3,0,0,11,0
"83",0,1,0,4,0
"84",3,0,15,4,2
"85",4,0,0,14,15
"86",1,4,6,0,2
"87",6,0,0,11,4
"88",3,0,0,0,4
"89",6,0,31,35,6
"90",2,4,0,20,0
"91",8,1,6,7,16
"92",8,39,5,0,3
"93",4,14,2,11,4
"94",1,2,0,1,7
"95",0,0,4,6,9
"96",0,0,8,8,3
"97",1,0,0,0,0
"98",8,14,4,0,1
"99",26,6,0,0,12
"100",2,1,0,0,0
