"","No.","일자","시","사용량..kWh.","최대수요..kW.","무효전력..kVarh....지상","무효전력..kVarh....진상","역률......지상","dayOfTheWeek","isHoliday","dateName","season"
"1",1,20150901,1,1113.48,1150.56,300.6,0,0,"화",1,NA,"fall"
"2",2,20150901,2,987.84,1038.24,271.44,0,0,"화",1,NA,"fall"
"3",3,20150901,3,891.36,912.96,234,0,0,"화",1,NA,"fall"
"4",4,20150901,4,845.64,856.8,209.52,0,0,"화",1,NA,"fall"
"5",5,20150901,5,804.6,820.8,182.88,0,0,"화",1,NA,"fall"
"6",6,20150901,6,851.04,892.8,203.04,0,0,"화",1,NA,"fall"
"7",7,20150901,7,968.4,1018.08,245.52,0,0,"화",1,NA,"fall"
"8",8,20150901,8,1137.6,1228.32,295.2,0,0,"화",1,NA,"fall"
"9",9,20150901,9,1519.2,1585.44,433.44,0,0,"화",1,NA,"fall"
"10",10,20150901,10,1628.64,1660.32,459,0,96.25,"화",1,NA,"fall"
"11",11,20150901,11,1725.48,1788.48,496.44,0,96.1,"화",1,NA,"fall"
"12",12,20150901,12,1778.04,1818.72,520.92,0,95.97,"화",1,NA,"fall"
"13",13,20150901,13,1759.68,1833.12,508.32,0,96.07,"화",1,NA,"fall"
"14",14,20150901,14,1898.28,1926.72,543.24,0,96.14,"화",1,NA,"fall"
"15",15,20150901,15,1803.6,1840.32,517.68,0,96.12,"화",1,NA,"fall"
"16",16,20150901,16,1807.2,1827.36,502.92,0,96.34,"화",1,NA,"fall"
"17",17,20150901,17,1830.24,1848.96,533.16,0,96.01,"화",1,NA,"fall"
"18",18,20150901,18,1690.2,1764,470.52,0,96.34,"화",1,NA,"fall"
"19",19,20150901,19,1528.92,1536.48,404.28,0,96.68,"화",1,NA,"fall"
"20",20,20150901,20,1533.6,1552.32,406.08,0,96.67,"화",1,NA,"fall"
"21",21,20150901,21,1493.64,1514.88,377.64,0,96.95,"화",1,NA,"fall"
"22",22,20150901,22,1439.28,1454.4,366.12,0,96.91,"화",1,NA,"fall"
"23",23,20150901,23,1238.4,1346.4,292.68,0,97.32,"화",1,NA,"fall"
"24",24,20150901,24,1186.56,1206.72,293.4,0,0,"화",1,NA,"fall"
"25",25,20150902,1,1095.48,1152,285.84,0,0,"수",1,NA,"fall"
"26",26,20150902,2,942.84,1008,234,0,0,"수",1,NA,"fall"
"27",27,20150902,3,892.08,918.72,220.68,0,0,"수",1,NA,"fall"
"28",28,20150902,4,833.4,866.88,204.48,0,0,"수",1,NA,"fall"
"29",29,20150902,5,804.24,828,185.4,0,0,"수",1,NA,"fall"
"30",30,20150902,6,821.52,848.16,187.2,0,0,"수",1,NA,"fall"
"31",31,20150902,7,946.8,969.12,226.44,0,0,"수",1,NA,"fall"
"32",32,20150902,8,1102.32,1268.64,267.48,0,0,"수",1,NA,"fall"
"33",33,20150902,9,1501.56,1563.84,437.4,0,0,"수",1,NA,"fall"
"34",34,20150902,10,1591.56,1686.24,449.64,0,96.23,"수",1,NA,"fall"
"35",35,20150902,11,1697.4,1700.64,491.04,0,96.06,"수",1,NA,"fall"
"36",36,20150902,12,1779.12,1805.76,533.16,0,95.79,"수",1,NA,"fall"
"37",37,20150902,13,1744.56,1761.12,509.4,0,95.99,"수",1,NA,"fall"
"38",38,20150902,14,1811.16,1818.72,526.68,0,96.02,"수",1,NA,"fall"
"39",39,20150902,15,1717.56,1746.72,504.72,0,95.94,"수",1,NA,"fall"
"40",40,20150902,16,1686.24,1722.24,483.48,0,96.13,"수",1,NA,"fall"
"41",41,20150902,17,1664.64,1710.72,484.2,0,96.02,"수",1,NA,"fall"
"42",42,20150902,18,1507.32,1565.28,402.84,0,96.61,"수",1,NA,"fall"
"43",43,20150902,19,1372.68,1401.12,342.72,0,97.02,"수",1,NA,"fall"
"44",44,20150902,20,1344.6,1402.56,307.44,0,97.48,"수",1,NA,"fall"
"45",45,20150902,21,1329.84,1344.96,319.68,0,97.23,"수",1,NA,"fall"
"46",46,20150902,22,1294.92,1319.04,305.64,0,97.33,"수",1,NA,"fall"
"47",47,20150902,23,1158.12,1226.88,275.4,0,97.29,"수",1,NA,"fall"
"48",48,20150902,24,1113.12,1136.16,272.88,0,0,"수",1,NA,"fall"
"49",49,20150903,1,1025.28,1051.2,261.36,0,0,"목",1,NA,"fall"
"50",50,20150903,2,931.32,982.08,228.96,0,0,"목",1,NA,"fall"
"51",51,20150903,3,838.08,862.56,203.04,0,0,"목",1,NA,"fall"
"52",52,20150903,4,800.64,807.84,189.72,0,0,"목",1,NA,"fall"
"53",53,20150903,5,760.32,766.08,162.72,0,0,"목",1,NA,"fall"
"54",54,20150903,6,775.8,792,170.64,0,0,"목",1,NA,"fall"
"55",55,20150903,7,858.24,902.88,208.08,0,0,"목",1,NA,"fall"
"56",56,20150903,8,1007.64,1208.16,257.04,0,0,"목",1,NA,"fall"
"57",57,20150903,9,1518.48,1605.6,460.08,0,0,"목",1,NA,"fall"
"58",58,20150903,10,1604.16,1634.4,461.52,0,96.1,"목",1,NA,"fall"
"59",59,20150903,11,1668.6,1697.76,474.12,0,96.19,"목",1,NA,"fall"
"60",60,20150903,12,1781.64,1823.04,535.68,0,95.77,"목",1,NA,"fall"
"61",61,20150903,13,1753.92,1781.28,512.64,0,95.98,"목",1,NA,"fall"
"62",62,20150903,14,1842.12,1872,532.44,0,96.07,"목",1,NA,"fall"
"63",63,20150903,15,1796.4,1821.6,520.92,0,96.04,"목",1,NA,"fall"
"64",64,20150903,16,1767.96,1817.28,483.84,0,96.45,"목",1,NA,"fall"
"65",65,20150903,17,1779.48,1787.04,500.76,0,96.26,"목",1,NA,"fall"
"66",66,20150903,18,1640.16,1661.76,446.04,0,96.5,"목",1,NA,"fall"
"67",67,20150903,19,1395.36,1424.16,354.24,0,96.93,"목",1,NA,"fall"
"68",68,20150903,20,1467.72,1509.12,360.36,0,97.12,"목",1,NA,"fall"
"69",69,20150903,21,1428.12,1444.32,347.4,0,97.17,"목",1,NA,"fall"
"70",70,20150903,22,1397.16,1414.08,356.4,0,96.9,"목",1,NA,"fall"
"71",71,20150903,23,1137.24,1232.64,266.4,0,97.36,"목",1,NA,"fall"
"72",72,20150903,24,1116.72,1131.84,278.28,0,0,"목",1,NA,"fall"
"73",73,20150904,1,1047.96,1094.4,268.2,0,0,"금",1,NA,"fall"
"74",74,20150904,2,930.96,980.64,223.56,0,0,"금",1,NA,"fall"
"75",75,20150904,3,865.08,904.32,213.48,0,0,"금",1,NA,"fall"
"76",76,20150904,4,813.96,817.92,190.44,0,0,"금",1,NA,"fall"
"77",77,20150904,5,766.08,781.92,164.16,0,0,"금",1,NA,"fall"
"78",78,20150904,6,809.64,852.48,175.32,0,0,"금",1,NA,"fall"
"79",79,20150904,7,915.48,930.24,221.76,0,0,"금",1,NA,"fall"
"80",80,20150904,8,1030.68,1139.04,258.12,0,0,"금",1,NA,"fall"
"81",81,20150904,9,1351.08,1425.6,396.72,0,0,"금",1,NA,"fall"
"82",82,20150904,10,1413,1424.16,406.8,0,96.1,"금",1,NA,"fall"
"83",83,20150904,11,1537.2,1627.2,450.36,0,95.97,"금",1,NA,"fall"
"84",84,20150904,12,1678.32,1697.76,507.24,0,95.72,"금",1,NA,"fall"
"85",85,20150904,13,1646.64,1660.32,496.8,0,95.74,"금",1,NA,"fall"
"86",86,20150904,14,1706.4,1745.28,507.24,0,95.85,"금",1,NA,"fall"
"87",87,20150904,15,1663.56,1681.92,482.76,0,96.04,"금",1,NA,"fall"
"88",88,20150904,16,1591.56,1627.2,445.32,0,96.3,"금",1,NA,"fall"
"89",89,20150904,17,1603.08,1609.92,464.04,0,96.06,"금",1,NA,"fall"
"90",90,20150904,18,1512.36,1569.6,420.84,0,96.34,"금",1,NA,"fall"
"91",91,20150904,19,1347.12,1380.96,349.92,0,96.79,"금",1,NA,"fall"
"92",92,20150904,20,1357.56,1391.04,342.36,0,96.96,"금",1,NA,"fall"
"93",93,20150904,21,1367.28,1379.52,343.44,0,96.99,"금",1,NA,"fall"
"94",94,20150904,22,1283.76,1320.48,310.32,0,97.2,"금",1,NA,"fall"
"95",95,20150904,23,1105.2,1170.72,261.36,0,97.32,"금",1,NA,"fall"
"96",96,20150904,24,1073.88,1105.92,258.48,0,0,"금",1,NA,"fall"
"97",97,20150905,1,1018.08,1056.96,252,0,0,"토",1,NA,"fall"
"98",98,20150905,2,928.44,957.6,229.68,0,0,"토",1,NA,"fall"
"99",99,20150905,3,879.48,898.56,230.76,0,0,"토",1,NA,"fall"
"100",100,20150905,4,812.52,820.8,198.36,0,0,"토",1,NA,"fall"
"101",101,20150905,5,776.88,786.24,168.12,0,0,"토",1,NA,"fall"
"102",102,20150905,6,802.8,838.08,184.32,0,0,"토",1,NA,"fall"
"103",103,20150905,7,868.32,910.08,214.56,0,0,"토",1,NA,"fall"
"104",104,20150905,8,950.4,999.36,250.2,0,0,"토",1,NA,"fall"
"105",105,20150905,9,1251,1398.24,360.36,0,0,"토",1,NA,"fall"
"106",106,20150905,10,1332,1369.44,387.36,0,96.02,"토",1,NA,"fall"
"107",107,20150905,11,1354.32,1395.36,392.04,0,96.06,"토",1,NA,"fall"
"108",108,20150905,12,1412.64,1432.8,421.56,0,95.82,"토",1,NA,"fall"
"109",109,20150905,13,1343.52,1405.44,390.6,0,96.02,"토",1,NA,"fall"
"110",110,20150905,14,1282.68,1344.96,358.92,0,96.3,"토",1,NA,"fall"
"111",111,20150905,15,1199.52,1212.48,333.72,0,96.34,"토",1,NA,"fall"
"112",112,20150905,16,1131.12,1153.44,299.52,0,96.67,"토",1,NA,"fall"
"113",113,20150905,17,1183.32,1193.76,330.12,0,96.32,"토",1,NA,"fall"
"114",114,20150905,18,1195.2,1219.68,308.52,0,96.83,"토",1,NA,"fall"
"115",115,20150905,19,1160.28,1185.12,297.72,0,96.86,"토",1,NA,"fall"
"116",116,20150905,20,1204.2,1219.68,294.84,0,97.13,"토",1,NA,"fall"
"117",117,20150905,21,1211.04,1238.4,309.24,0,96.89,"토",1,NA,"fall"
"118",118,20150905,22,1174.32,1215.36,300.24,0,96.88,"토",1,NA,"fall"
"119",119,20150905,23,1087.2,1152,264.6,0,97.16,"토",1,NA,"fall"
"120",120,20150905,24,1035.72,1062.72,250.2,0,0,"토",1,NA,"fall"
"121",121,20150906,1,944.64,957.6,216.36,0,0,"일",1,NA,"fall"
"122",122,20150906,2,860.76,925.92,198.36,0,0,"일",1,NA,"fall"
"123",123,20150906,3,822.6,836.64,194.76,0,0,"일",1,NA,"fall"
"124",124,20150906,4,774,794.88,182.88,0,0,"일",1,NA,"fall"
"125",125,20150906,5,721.44,727.2,144.72,0,0,"일",1,NA,"fall"
"126",126,20150906,6,692.28,704.16,142.56,0,0,"일",1,NA,"fall"
"127",127,20150906,7,759.24,777.6,187.2,0,0,"일",1,NA,"fall"
"128",128,20150906,8,770.4,780.48,174.6,0,0,"일",1,NA,"fall"
"129",129,20150906,9,834.48,866.88,204.48,0,0,"일",1,NA,"fall"
"130",130,20150906,10,787.68,796.32,181.44,0,97.45,"일",1,NA,"fall"
"131",131,20150906,11,920.52,986.4,238.32,0,96.81,"일",1,NA,"fall"
"132",132,20150906,12,997.92,1042.56,289.44,0,96.04,"일",1,NA,"fall"
"133",133,20150906,13,1008.36,1036.8,282.24,0,96.3,"일",1,NA,"fall"
"134",134,20150906,14,1067.76,1080,300.24,0,96.27,"일",1,NA,"fall"
"135",135,20150906,15,1041.12,1051.2,308.16,0,95.89,"일",1,NA,"fall"
"136",136,20150906,16,968.4,992.16,247.68,0,96.88,"일",1,NA,"fall"
"137",137,20150906,17,978.48,986.4,259.92,0,96.65,"일",1,NA,"fall"
"138",138,20150906,18,985.32,1000.8,244.08,0,97.07,"일",1,NA,"fall"
"139",139,20150906,19,1000.8,1009.44,228.6,0,97.49,"일",1,NA,"fall"
"140",140,20150906,20,1042.56,1064.16,246.24,0,97.32,"일",1,NA,"fall"
"141",141,20150906,21,1090.44,1108.8,258.84,0,97.3,"일",1,NA,"fall"
"142",142,20150906,22,1116,1137.6,266.4,0,97.27,"일",1,NA,"fall"
"143",143,20150906,23,1005.84,1035.36,230.4,0,97.48,"일",1,NA,"fall"
"144",144,20150906,24,1003.68,1010.88,237.6,0,0,"일",1,NA,"fall"
"145",145,20150907,1,936.36,986.4,228.24,0,0,"월",1,NA,"fall"
"146",146,20150907,2,837,862.56,190.08,0,0,"월",1,NA,"fall"
"147",147,20150907,3,747.36,761.76,165.24,0,0,"월",1,NA,"fall"
"148",148,20150907,4,697.68,711.36,145.44,0,0,"월",1,NA,"fall"
"149",149,20150907,5,669.6,679.68,124.92,0,0,"월",1,NA,"fall"
"150",150,20150907,6,725.4,738.72,144.72,0,0,"월",1,NA,"fall"
"151",151,20150907,7,793.44,817.92,183.24,0,0,"월",1,NA,"fall"
"152",152,20150907,8,957.6,1006.56,232.56,0,0,"월",1,NA,"fall"
"153",153,20150907,9,1240.2,1281.6,343.08,0,0,"월",1,NA,"fall"
"154",154,20150907,10,1283.4,1311.84,352.08,0,96.44,"월",1,NA,"fall"
"155",155,20150907,11,1297.44,1357.92,361.8,0,96.32,"월",1,NA,"fall"
"156",156,20150907,12,1477.08,1530.72,438.84,0,95.86,"월",1,NA,"fall"
"157",157,20150907,13,1440,1457.28,411.12,0,96.16,"월",1,NA,"fall"
"158",158,20150907,14,1488.24,1552.32,432.36,0,96.03,"월",1,NA,"fall"
"159",159,20150907,15,1541.52,1582.56,455.76,0,95.9,"월",1,NA,"fall"
"160",160,20150907,16,1447.92,1481.76,397.44,0,96.43,"월",1,NA,"fall"
"161",161,20150907,17,1461.96,1478.88,418.68,0,96.14,"월",1,NA,"fall"
"162",162,20150907,18,1430.64,1455.84,398.52,0,96.33,"월",1,NA,"fall"
"163",163,20150907,19,1318.68,1349.28,345.96,0,96.73,"월",1,NA,"fall"
"164",164,20150907,20,1334.88,1339.2,339.48,0,96.92,"월",1,NA,"fall"
"165",165,20150907,21,1285.2,1310.4,304.2,0,97.31,"월",1,NA,"fall"
"166",166,20150907,22,1240.56,1261.44,292.68,0,97.33,"월",1,NA,"fall"
"167",167,20150907,23,1082.88,1118.88,257.4,0,97.29,"월",1,NA,"fall"
"168",168,20150907,24,1021.68,1062.72,253.08,0,0,"월",1,NA,"fall"
"169",169,20150908,1,973.8,1012.32,248.04,0,0,"화",1,NA,"fall"
"170",170,20150908,2,830.88,895.68,190.8,0,0,"화",1,NA,"fall"
"171",171,20150908,3,751.32,764.64,163.8,0,0,"화",1,NA,"fall"
"172",172,20150908,4,727.2,738.72,162,0,0,"화",1,NA,"fall"
"173",173,20150908,5,690.84,702.72,138.24,0,0,"화",1,NA,"fall"
"174",174,20150908,6,725.4,748.8,146.52,0,0,"화",1,NA,"fall"
"175",175,20150908,7,808.2,839.52,177.12,0,0,"화",1,NA,"fall"
"176",176,20150908,8,940.32,1065.6,208.8,0,0,"화",1,NA,"fall"
"177",177,20150908,9,1247.04,1284.48,322.56,0,0,"화",1,NA,"fall"
"178",178,20150908,10,1274.4,1298.88,321.84,0,96.96,"화",1,NA,"fall"
"179",179,20150908,11,1311.84,1340.64,329.76,0,96.98,"화",1,NA,"fall"
"180",180,20150908,12,1465.92,1517.76,411.84,0,96.27,"화",1,NA,"fall"
"181",181,20150908,13,1421.28,1431.36,376.2,0,96.67,"화",1,NA,"fall"
"182",182,20150908,14,1467.36,1474.56,386.64,0,96.7,"화",1,NA,"fall"
"183",183,20150908,15,1462.68,1477.44,388.08,0,96.66,"화",1,NA,"fall"
"184",184,20150908,16,1431.72,1457.28,353.88,0,97.08,"화",1,NA,"fall"
"185",185,20150908,17,1404.72,1437.12,351.36,0,97.01,"화",1,NA,"fall"
"186",186,20150908,18,1407.24,1442.88,366.12,0,96.78,"화",1,NA,"fall"
"187",187,20150908,19,1232.28,1268.64,298.8,0,97.18,"화",1,NA,"fall"
"188",188,20150908,20,1239.48,1252.8,273.96,0,97.64,"화",1,NA,"fall"
"189",189,20150908,21,1243.8,1252.8,269.64,0,97.73,"화",1,NA,"fall"
"190",190,20150908,22,1200.96,1211.04,262.44,0,97.69,"화",1,NA,"fall"
"191",191,20150908,23,1033.2,1058.4,224.64,0,97.72,"화",1,NA,"fall"
"192",192,20150908,24,1008,1019.52,233.28,0,0,"화",1,NA,"fall"
"193",193,20150909,1,943.56,960.48,220.68,0,0,"수",1,NA,"fall"
"194",194,20150909,2,828,898.56,176.04,0,0,"수",1,NA,"fall"
"195",195,20150909,3,763.92,780.48,164.88,0,0,"수",1,NA,"fall"
"196",196,20150909,4,728.28,754.56,159.12,0,0,"수",1,NA,"fall"
"197",197,20150909,5,681.48,699.84,129.6,0,0,"수",1,NA,"fall"
"198",198,20150909,6,698.4,714.24,130.68,0,0,"수",1,NA,"fall"
"199",199,20150909,7,788.04,806.4,169.2,0,0,"수",1,NA,"fall"
"200",200,20150909,8,904.68,964.8,203.76,0,0,"수",1,NA,"fall"
"201",201,20150909,9,1222.56,1255.68,322.2,0,0,"수",1,NA,"fall"
"202",202,20150909,10,1254.96,1298.88,318.6,0,96.93,"수",1,NA,"fall"
"203",203,20150909,11,1302.12,1306.08,339.84,0,96.76,"수",1,NA,"fall"
"204",204,20150909,12,1431.72,1448.64,419.76,0,95.96,"수",1,NA,"fall"
"205",205,20150909,13,1355.04,1372.32,362.52,0,96.6,"수",1,NA,"fall"
"206",206,20150909,14,1482.48,1509.12,427.32,0,96.09,"수",1,NA,"fall"
"207",207,20150909,15,1439.28,1470.24,416.88,0,96.05,"수",1,NA,"fall"
"208",208,20150909,16,1417.68,1457.28,381.6,0,96.56,"수",1,NA,"fall"
"209",209,20150909,17,1410.84,1432.8,389.16,0,96.4,"수",1,NA,"fall"
"210",210,20150909,18,1294.56,1320.48,336.24,0,96.79,"수",1,NA,"fall"
"211",211,20150909,19,1217.52,1235.52,290.88,0,97.26,"수",1,NA,"fall"
"212",212,20150909,20,1296.36,1327.68,311.4,0,97.23,"수",1,NA,"fall"
"213",213,20150909,21,1287.72,1300.32,307.08,0,97.27,"수",1,NA,"fall"
"214",214,20150909,22,1240.2,1294.56,290.52,0,97.36,"수",1,NA,"fall"
"215",215,20150909,23,1050.12,1082.88,241.92,0,97.45,"수",1,NA,"fall"
"216",216,20150909,24,987.84,1012.32,235.44,0,0,"수",1,NA,"fall"
"217",217,20150910,1,928.08,936,217.08,0,0,"목",1,NA,"fall"
"218",218,20150910,2,835.56,875.52,196.56,0,0,"목",1,NA,"fall"
"219",219,20150910,3,750.96,763.2,163.8,0,0,"목",1,NA,"fall"
"220",220,20150910,4,708.84,720,143.64,0,0,"목",1,NA,"fall"
"221",221,20150910,5,666,685.44,128.16,0,0,"목",1,NA,"fall"
"222",222,20150910,6,701.28,730.08,136.8,0,0,"목",1,NA,"fall"
"223",223,20150910,7,782.28,828,167.4,0,0,"목",1,NA,"fall"
"224",224,20150910,8,923.04,1010.88,199.44,0,0,"목",1,NA,"fall"
"225",225,20150910,9,1299.96,1327.68,366.84,0,0,"목",1,NA,"fall"
"226",226,20150910,10,1217.88,1265.76,288.72,0,97.3,"목",1,NA,"fall"
"227",227,20150910,11,1293.48,1343.52,326.16,0,96.96,"목",1,NA,"fall"
"228",228,20150910,12,1470.96,1494.72,407.88,0,96.36,"목",1,NA,"fall"
"229",229,20150910,13,1430.28,1447.2,384.48,0,96.57,"목",1,NA,"fall"
"230",230,20150910,14,1496.16,1514.88,407.52,0,96.48,"목",1,NA,"fall"
"231",231,20150910,15,1487.16,1523.52,417.24,0,96.28,"목",1,NA,"fall"
"232",232,20150910,16,1414.44,1447.2,363.6,0,96.85,"목",1,NA,"fall"
"233",233,20150910,17,1518.48,1542.24,422.28,0,96.34,"목",1,NA,"fall"
"234",234,20150910,18,1421.64,1460.16,385.56,0,96.51,"목",1,NA,"fall"
"235",235,20150910,19,1378.44,1457.28,351.36,0,96.9,"목",1,NA,"fall"
"236",236,20150910,20,1430.64,1473.12,343.44,0,97.24,"목",1,NA,"fall"
"237",237,20150910,21,1381.68,1402.56,325.44,0,97.34,"목",1,NA,"fall"
"238",238,20150910,22,1373.76,1408.32,334.8,0,97.16,"목",1,NA,"fall"
"239",239,20150910,23,1108.8,1177.92,247.32,0,97.6,"목",1,NA,"fall"
"240",240,20150910,24,1044,1077.12,255.24,0,0,"목",1,NA,"fall"
"241",241,20150911,1,971.28,1000.8,235.8,0,0,"금",1,NA,"fall"
"242",242,20150911,2,884.88,944.64,216.72,0,0,"금",1,NA,"fall"
"243",243,20150911,3,791.64,836.64,184.68,0,0,"금",1,NA,"fall"
"244",244,20150911,4,754.56,764.64,176.76,0,0,"금",1,NA,"fall"
"245",245,20150911,5,718.92,730.08,149.4,0,0,"금",1,NA,"fall"
"246",246,20150911,6,762.84,797.76,167.04,0,0,"금",1,NA,"fall"
"247",247,20150911,7,880.92,918.72,213.48,0,0,"금",1,NA,"fall"
"248",248,20150911,8,941.4,974.88,222.84,0,0,"금",1,NA,"fall"
"249",249,20150911,9,1273.68,1339.2,353.88,0,0,"금",1,NA,"fall"
"250",250,20150911,10,1308.24,1363.68,351.36,0,96.58,"금",1,NA,"fall"
"251",251,20150911,11,1443.96,1458.72,403.92,0,96.3,"금",1,NA,"fall"
"252",252,20150911,12,1418.4,1452.96,383.4,0,96.54,"금",1,NA,"fall"
"253",253,20150911,13,1346.76,1391.04,348.48,0,96.81,"금",1,NA,"fall"
"254",254,20150911,14,1387.8,1404,362.52,0,96.75,"금",1,NA,"fall"
"255",255,20150911,15,1386,1476,366.48,0,96.68,"금",1,NA,"fall"
"256",256,20150911,16,1394.64,1431.36,359.28,0,96.84,"금",1,NA,"fall"
"257",257,20150911,17,1407.6,1416.96,371.16,0,96.69,"금",1,NA,"fall"
"258",258,20150911,18,1288.8,1356.48,294.84,0,97.48,"금",1,NA,"fall"
"259",259,20150911,19,1284.48,1303.2,302.04,0,97.34,"금",1,NA,"fall"
"260",260,20150911,20,1232.28,1254.24,287.64,0,97.38,"금",1,NA,"fall"
"261",261,20150911,21,1184.4,1208.16,261.36,0,97.65,"금",1,NA,"fall"
"262",262,20150911,22,1144.08,1175.04,256.68,0,97.57,"금",1,NA,"fall"
"263",263,20150911,23,974.52,1049.76,200.16,0,97.96,"금",1,NA,"fall"
"264",264,20150911,24,915.48,925.92,197.64,0,0,"금",1,NA,"fall"
"265",265,20150912,1,875.16,889.92,196.92,0,0,"토",1,NA,"fall"
"266",266,20150912,2,796.32,815.04,167.04,0,0,"토",1,NA,"fall"
"267",267,20150912,3,728.64,758.88,147.24,0,0,"토",1,NA,"fall"
"268",268,20150912,4,723.96,745.92,153,0,0,"토",1,NA,"fall"
"269",269,20150912,5,678.6,691.2,129.96,0,0,"토",1,NA,"fall"
"270",270,20150912,6,698.76,708.48,136.8,0,0,"토",1,NA,"fall"
"271",271,20150912,7,782.64,807.84,187.92,0,0,"토",1,NA,"fall"
"272",272,20150912,8,804.24,851.04,178.92,0,0,"토",1,NA,"fall"
"273",273,20150912,9,954.72,976.32,224.64,0,0,"토",1,NA,"fall"
"274",274,20150912,10,977.04,1015.2,229.68,0,97.35,"토",1,NA,"fall"
"275",275,20150912,11,1037.52,1051.2,230.04,0,97.63,"토",1,NA,"fall"
"276",276,20150912,12,1091.52,1134.72,269.64,0,97.08,"토",1,NA,"fall"
"277",277,20150912,13,1045.08,1054.08,259.56,0,97.05,"토",1,NA,"fall"
"278",278,20150912,14,1026.36,1061.28,279,0,96.5,"토",1,NA,"fall"
"279",279,20150912,15,992.52,1103.04,269.28,0,96.51,"토",1,NA,"fall"
"280",280,20150912,16,1101.24,1116,298.44,0,96.52,"토",1,NA,"fall"
"281",281,20150912,17,1143.36,1152,312.12,0,96.47,"토",1,NA,"fall"
"282",282,20150912,18,1151.64,1169.28,308.88,0,96.59,"토",1,NA,"fall"
"283",283,20150912,19,1140.12,1226.88,294.84,0,96.82,"토",1,NA,"fall"
"284",284,20150912,20,1197.36,1221.12,294.12,0,97.11,"토",1,NA,"fall"
"285",285,20150912,21,1128.24,1157.76,272.52,0,97.2,"토",1,NA,"fall"
"286",286,20150912,22,1071.36,1123.2,231.12,0,97.75,"토",1,NA,"fall"
"287",287,20150912,23,933.48,996.48,177.84,0,98.23,"토",1,NA,"fall"
"288",288,20150912,24,909.36,931.68,173.16,0,0,"토",1,NA,"fall"
"289",289,20150913,1,854.28,875.52,181.44,0,0,"일",1,NA,"fall"
"290",290,20150913,2,748.8,783.36,146.16,0,0,"일",1,NA,"fall"
"291",291,20150913,3,714.6,738.72,144.36,0,0,"일",1,NA,"fall"
"292",292,20150913,4,682.92,717.12,132.48,0,0,"일",1,NA,"fall"
"293",293,20150913,5,644.4,649.44,114.84,0,0,"일",1,NA,"fall"
"294",294,20150913,6,656.64,691.2,131.4,0,0,"일",1,NA,"fall"
"295",295,20150913,7,689.4,699.84,158.76,0,0,"일",1,NA,"fall"
"296",296,20150913,8,710.64,758.88,157.32,0,0,"일",1,NA,"fall"
"297",297,20150913,9,818.28,846.72,207,0,0,"일",1,NA,"fall"
"298",298,20150913,10,772.2,787.68,185.04,0,97.25,"일",1,NA,"fall"
"299",299,20150913,11,816.12,845.28,196.2,0,97.23,"일",1,NA,"fall"
"300",300,20150913,12,899.28,925.92,247.32,0,96.42,"일",1,NA,"fall"
"301",301,20150913,13,930.96,960.48,238.32,0,96.88,"일",1,NA,"fall"
"302",302,20150913,14,994.68,1018.08,268.92,0,96.53,"일",1,NA,"fall"
"303",303,20150913,15,1020.24,1045.44,294.84,0,96.07,"일",1,NA,"fall"
"304",304,20150913,16,976.68,996.48,250.92,0,96.85,"일",1,NA,"fall"
"305",305,20150913,17,1027.44,1041.12,294.84,0,96.12,"일",1,NA,"fall"
"306",306,20150913,18,961.2,995.04,258.48,0,96.57,"일",1,NA,"fall"
"307",307,20150913,19,964.8,989.28,241.56,0,97.01,"일",1,NA,"fall"
"308",308,20150913,20,1028.88,1046.88,241.92,0,97.35,"일",1,NA,"fall"
"309",309,20150913,21,1023.12,1042.56,236.52,0,97.43,"일",1,NA,"fall"
"310",310,20150913,22,1049.4,1061.28,237.6,0,97.53,"일",1,NA,"fall"
"311",311,20150913,23,954.72,1000.8,194.76,0,97.98,"일",1,NA,"fall"
"312",312,20150913,24,977.04,987.84,225.72,0,0,"일",1,NA,"fall"
"313",313,20150914,1,914.76,940.32,220.68,0,0,"월",1,NA,"fall"
"314",314,20150914,2,830.52,879.84,191.16,0,0,"월",1,NA,"fall"
"315",315,20150914,3,755.64,773.28,166.68,0,0,"월",1,NA,"fall"
"316",316,20150914,4,692.28,695.52,146.52,0,0,"월",1,NA,"fall"
"317",317,20150914,5,666,671.04,126.36,0,0,"월",1,NA,"fall"
"318",318,20150914,6,721.08,738.72,154.44,0,0,"월",1,NA,"fall"
"319",319,20150914,7,806.76,828,186.12,0,0,"월",1,NA,"fall"
"320",320,20150914,8,936.36,1015.2,218.88,0,0,"월",1,NA,"fall"
"321",321,20150914,9,1233,1251.36,356.4,0,0,"월",1,NA,"fall"
"322",322,20150914,10,1163.52,1190.88,298.44,0,96.86,"월",1,NA,"fall"
"323",323,20150914,11,1266.84,1313.28,340.92,0,96.56,"월",1,NA,"fall"
"324",324,20150914,12,1328.04,1342.08,383.04,0,96.08,"월",1,NA,"fall"
"325",325,20150914,13,1369.8,1398.24,383.76,0,96.29,"월",1,NA,"fall"
"326",326,20150914,14,1451.52,1499.04,435.24,0,95.79,"월",1,NA,"fall"
"327",327,20150914,15,1389.6,1418.4,412.92,0,95.86,"월",1,NA,"fall"
"328",328,20150914,16,1356.48,1372.32,379.08,0,96.31,"월",1,NA,"fall"
"329",329,20150914,17,1447.92,1454.4,377.28,0,96.77,"월",1,NA,"fall"
